"2014;11;2014.03.15.;1;3 054 187 380 Ft;76;1 237 115 Ft;5276;18 870 Ft;145265;1 335 Ft;5;10;54;59;80"
"2014;10;2014.03.08.;0;0 Ft;91;1 022 810 Ft;6348;15 525 Ft;152010;1 260 Ft;3;26;31;46;66"
"2014;9;2014.03.01.;0;0 Ft;37;2 378 085 Ft;4544;20 505 Ft;133927;1 355 Ft;3;59;63;66;84"
"2014;8;2014.02.22.;0;0 Ft;27;3 240 680 Ft;3044;30 435 Ft;95853;1 880 Ft;40;44;62;75;84"
"2014;7;2014.02.15.;0;0 Ft;95;947 880 Ft;6194;15 395 Ft;149779;1 240 Ft;2;10;39;44;68"
"2014;6;2014.02.08.;0;0 Ft;67;1 316 505 Ft;4975;18 775 Ft;134377;1 350 Ft;15;39;42;52;55"
"2014;5;2014.02.01.;0;0 Ft;40;1 973 875 Ft;4161;20 090 Ft;115343;1 410 Ft;23;32;37;62;79"
"2014;4;2014.01.25.;0;0 Ft;43;1 767 310 Ft;4056;19 840 Ft;129862;1 205 Ft;15;18;19;29;39"
"2014;3;2014.01.18.;0;0 Ft;43;1 707 190 Ft;4104;18 940 Ft;106783;1 510 Ft;38;43;48;57;74"
"2014;2;2014.01.11.;0;0 Ft;47;1 418 035 Ft;3198;22 065 Ft;96564;1 420 Ft;1;12;42;71;85"
"2014;1;2014.01.04.;0;0 Ft;19;3 498 315 Ft;3195;22 030 Ft;96986;1 410 Ft;24;42;46;47;81"
